,store,sido,gungu,store_address
438,삼광점,강원도,원주시,강원도 원주시 행구로 107
439,삼동점,경기도,광주시,경기도 광주시 순암로 509(삼동)
440,삼방점,경상남도,김해시,경상남도 김해시 삼안로235번길 14(삼방동668-17)
441,삼산점,인천광역시,부평구,인천광역시 부평구 후정동로 15
442,삼성동점,서울특별시,강남구,"서울특별시 강남구 영동대로112길 61, 1층(삼성동)"
443,삼성마을점,경기도,군포시,"경기도 군포시 삼성로 6, 1층 108호 (부곡동, 웅신프라자)"
444,삼송점,경기도,고양시덕양구,경기도 고양시덕양구 삼송로193번길 29   1층
445,삼양동점,서울특별시,강북구,서울특별시 강북구 솔매로 39 (미아동)
446,삼환대우점,인천광역시,연수구,"인천광역시 연수구 원인재로 124, 상가동 1층 116호"
447,삽교점,충청남도,예산군,충청남도 예산군 삽교읍 삽교로2길 2
448,상갈점,경기도,용인시기흥구,경기도 용인시기흥구 금화로108번길 7
449,상계역점,서울특별시,노원구,"서울특별시 노원구 상계로23다길 4, 102호(상계동)"
450,상대원1점,경기도,성남시중원구,경기도 성남시중원구 박석로62번길 1(상대원동)
451,상도4동점,서울특별시,동작구,서울특별시 동작구 양녕로26길 28 1층
452,상도점,서울특별시,동작구,"서울특별시 동작구 만양로 11, 1층 101호 (상도동)"
453,상동점,전라북도,정읍시,전라북도 정읍시 충정로 37
454,상동현대점,경기도,부천시원미구,경기도 부천시원미구 조마루로85번길 9
455,상리점,경기도,여주시,경기도 여주시 청심로 232(상동)
456,상무세정점,광주광역시,서구,광주광역시 서구 상무화원로31번 18
457,상봉동점,서울특별시,중랑구,"서울특별시 중랑구 봉우재로 161, 1층 (상봉동)"
458,상인점,대구광역시,달서구,대구광역시 달서구 상화북로 137
459,상일동점,서울특별시,강동구,"서울특별시 강동구 상일로 29-1, 1층(상일동)"
460,상현점,경기도,용인시수지구,경기도 용인시수지구 만현로 110
461,새마을점,경기도,안양시만안구,경기도 안양시만안구 병목안로 119
462,샘머리점,대전광역시,서구,대전광역시 서구 청사로 281 상록스토아 306
463,샘터점,경기도,고양시덕양구,경기도 고양시덕양구 화신로 73 D상가 103호
464,서3점,부산광역시,금정구,부산광역시 금정구 금사로 11-1(서동)
465,서귀동문점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서문로29번길 18
466,서근리점,경기도,화성시,경기도 화성시 팔탄면 버들로1362번길 6
467,서남점,대구광역시,달서구,대구광역시 달서구 당산로41길 69
468,서둔탑동평동점,경기도,수원시권선구,경기도 수원시권선구 서둔로 197-1
469,서면점(충남),세종특별자치시,연서면,세종특별자치시  연서면 당산로 286 대원네스트빌@상가101
470,서문동점,충청북도,청주시상당구,충청북도 청주시상당구  남사로89번길32
471,서부점,경상남도,창원시진해구,경상남도 창원시진해구  충장로 100
472,서산1점,충청남도,서산시,충청남도 서산시 동헌로 129
473,서산부영점,충청남도,서산시,충청남도 서산시 성암1로 56
474,서산삼성점,충청남도,서산시,충청남도 서산시 서령로 137
475,서상점,경상남도,함양군,경상남도 함양군 서상면 서상로 290-2
476,서석점,강원도,홍천군,강원도 홍천군  서석면 구룡령로 2525
477,서울온천점,서울특별시,노원구,"서울특별시 노원구 노원로16길 15, 상가동 1층 104호 (하계동,중계9단지상가)"
478,서울외대점,서울특별시,동대문구,"서울특별시 동대문구 천장산로 3, 1층 좌측 (이문동)"
479,서울지사,서울특별시,금천구,서울특별시 금천구 시흥동 985-14
480,서정점,경기도,평택시,경기도 평택시 송탄로 183
481,서창점,인천광역시,남동구,인천광역시 남동구 운연천로  7
482,서천점,충청남도,서천군,충청남도 서천군 서천읍 서천로 117
483,서천점(용인),경기도,용인시기흥구,"경기도 용인시기흥구 예현로35번길  6 서천동,1층"
484,서초동점,서울특별시,서초구,서울특별시 서초구 효령로 424
485,서현점,경기도,성남시분당구,경기도 성남시분당구 불정로376번길 31
486,석관동점,서울특별시,성북구,"서울특별시 성북구 돌곶이로22길 50, 1층(석관동)"
487,석림점,충청남도,서산시,충청남도 서산시 석림3로 25
488,석문점,충청남도,당진시,충청남도 당진시 석문면 통정3안길 8-15
489,석사점,강원도,춘천시,"강원도 춘천시 공지로252번길 4, 1층(효자동)"
490,석적점,경상북도,칠곡군,경상북도 칠곡군 석적읍 북중리 11길 28
491,석촌점,서울특별시,송파구,"서울특별시 송파구 송파대로37길 26, 101호 (석촌동)"
492,석포점,경기도,화성시,경기도 화성시 장안면 버들로 1199
493,선부3점,경기도,안산시단원구,"경기도 안산시단원구 달미로 85-1, 104호"
494,선수촌점,서울특별시,송파구,서울특별시 송파구 올림픽로4길 17
495,선유점,경기도,파주시,경기도 파주시 문산읍 독서울1길 39 휴먼시아상가 106
496,선화점,대전광역시,중구,대전광역시 중구 대전천서로 503
497,설봉점,경기도,이천시,경기도 이천시 향교로 106(창전동)
498,설성점,경기도,이천시,경기도 이천시 설성면 설장로 13
499,설악동점,강원도,속초시,강원도 속초시 청봉로 77
500,설악면점,경기도,가평군,경기도 가평군 설악면 신천중앙로 131
501,성거점,충청남도,천안시서북구,충청남도 천안시서북구 성거읍 성거길 90
502,성건점,경상북도,경주시,경상북도 경주시 금성로 414
503,성남점,경기도,성남시중원구,경기도 성남시중원구 성남대로 1151
504,성남점(울산),울산광역시,중구,울산광역시 중구 새즈믄해거리 19 (성남동2층)
505,성내동점,서울특별시,강동구,서울특별시 강동구 성안로3길 102(성내동)
506,성당점,대구광역시,달서구,대구광역시 달서구 장기로26길 51
507,성대1점,경기도,수원시장안구,경기도 수원시장안구 율전로85번길 15(율전동)
508,성대2점,경기도,수원시장안구,"경기도 수원시장안구 서부로2197번 36-1, 1층"
509,성산동점,서울특별시,마포구,"서울특별시 마포구 월드컵북로 230, 2층5호 (중동,현대상가)"
510,성산점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 성산중앙로 36
511,성서점,대구광역시,달서구,대구광역시 달서구 성서서로 316
512,성석점,경기도,고양시일산동구,경기도 고양시일산동구 고봉로 616(성석동)
513,성정2점,충청남도,천안시서북구,충청남도 천안시서북구 서부12길 14
514,성정점,충청남도,천안시서북구,충청남도 천안시서북구 성정로 75
515,성주점(경북),경상북도,성주군,경상북도 성주군 월항면  주산로 397
516,성환점,충청남도,천안시서북구,충청남도 천안시서북구 성환읍 성환중앙로 49
517,세검정점,서울특별시,종로구,서울특별시 종로구 평창문화로 28-1(평창동)
518,세곡점,서울특별시,강남구,서울특별시 강남구 밤고개로34길  (세곡동 1층 16)
519,세류점,경기도,수원시권선구,경기도 수원시권선구 정조로 558(세류동)
520,세종청사점,세종특별자치시,갈매로,"세종특별자치시  갈매로 479, 101호(어진동, 상가동지하1층)"
521,센트럴파크점,인천광역시,연수구,인천광역시 연수구 컨벤시아대로 50
522,소래점,인천광역시,남동구,인천광역시 남동구 청능대로 718 9
523,소사3점,경기도,부천시소사구,"경기도 부천시소사구 소사로160번길 26-2, 1층일부(소사본동)"
524,소양로점,강원도,춘천시,강원도 춘천시 중앙로 126 (소양로4가)
525,소촌점,광주광역시,광산구,광주광역시 광산구 어등대로665번 27
526,속리산점,충청북도,보은군,충청북도 보은군 속리산면 사내6길 5-3
527,송강그린점,대전광역시,유성구,대전광역시 유성구 와룡로 21
528,송강마을점,대전광역시,유성구,대전광역시 유성구 구즉로58번길 12(송강동)
529,송내1점,경기도,부천시소사구,경기도 부천시소사구 경인로120번길 송내동 457-1
530,송내점,경기도,동두천시,경기도 동두천시 거북마루로 24
531,송도신도시점,인천광역시,연수구,"인천광역시 연수구 해돋이로6번길 33, 한진해모로상가 105호"
532,송도점(인천),인천광역시,연수구,인천광역시 연수구 비류대로 216 1층4호
533,송도점(포항),경상북도,포항시남구,경상북도 포항시남구 송림로 47-1
534,송림점,인천광역시,동구,인천광역시 동구 샛골로161번길 25
535,송산점,충청남도,당진시,충청남도 당진시 송산면 송산로 809
536,송악점,충청남도,아산시,충청남도 아산시 송악면 송악로 813
537,송우리점,경기도,포천시,경기도 포천시 소흘읍 송우리730-16
538,송정점,강원도,동해시,"강원도 동해시 동해항2길 5, 7/2(송정동)"
539,송지호점,강원도,고성군,강원도 고성군 죽왕면 동해대로 5902
540,송천점,전라북도,전주시덕진구,전라북도 전주시덕진구 솔내로 111(송천동1가)
541,송촌점,대전광역시,대덕구,대전광역시 대덕구 동춘당로23번길 104
542,송현점,대구광역시,달서구,대구광역시 달서구 월배로74길 24
543,수곡동점,충청북도,청주시서원구,충청북도 청주시서원구 청남로 2092-1(수곡동)
544,수리산역점,경기도,군포시,"경기도 군포시 번영로 403, 211(산본동, 가야주공)"
545,수림점,인천광역시,남동구,인천광역시 남동구 주안로237번길 1
546,수성점,대구광역시,수성구,대구광역시 수성구 달구벌대로458 26
547,수안보점,충청북도,충주시,충청북도 충주시 수안보면 장터2길 20-7
548,수완점,광주광역시,광산구,광주광역시 광산구 수완로9번길 38
549,수원지사, ,,
550,수유점,서울특별시,강북구,"서울특별시 강북구 노해로11길 42, 1층(수유동)"
551,수진점,경기도,성남시수정구,"경기도 성남시수정구 제일로124번길 8, 1층 (수진동)"
552,순흥점,경상북도,영주시,경상북도 영주시 순흥면 읍내리 315-1
553,시화3점,경기도,시흥시,경기도 시흥시 정왕대로53번길 29
554,시화5점,경기도,시흥시,경기도 시흥시 역전로 427 세종상가 104
555,시화6점,경기도,시흥시,경기도 시흥시 중심상가로 132 청솔아파트 상가 104호
556,시화7점,경기도,시흥시,"경기도 시흥시 정왕신길로49번 37,109(서해APT상가)"
557,시화8점,경기도,시흥시,"경기도 시흥시 정왕대로266번 6, 금강아파트 상가 108호"
558,시화지구점,경기도,시흥시,경기도 시흥시 봉우재로7번길 20
559,시흥사거리점,서울특별시,금천구,서울특별시 금천구 시흥대로57길 41 1층
560,시흥현대점,서울특별시,금천구,"서울특별시 금천구 독산로36길 8, 지하1층 (시흥동)"
561,신갈점,경기도,용인시기흥구,경기도 용인시기흥구 신구로53번길 10-1(신갈동)
562,신공덕점,서울특별시,마포구,"서울특별시 마포구 만리재옛길 20(신공덕동, 1층)"
563,신공항점,인천광역시,중구,"인천광역시 중구 영종대로27번길 41, 상가동 103호"
564,신관점,충청남도,공주시,충청남도 공주시 공주대학로 9-1
565,신관초교점,충청남도,공주시,충청남도 공주시 번영1로 97- 
566,신구로점,서울특별시,구로구,서울특별시 구로구 구로중앙로 28다길21
567,신길2점,서울특별시,영등포구,서울특별시 영등포구 영등포로86길 12 (신길동)
568,신내동점,서울특별시,중랑구,"서울특별시 중랑구 봉화산로 236(신내동, 102호)"
569,신대방역점,서울특별시,관악구,서울특별시 관악구 남부순환로 143길 20
570,신대점,대전광역시,대덕구,대전광역시 대덕구 신탄진로 213
571,신도림점,서울특별시,구로구,서울특별시 구로구 신도림로11다길 23(신도림동)
572,신둔점,경기도,이천시,경기도 이천시 신둔면 경충대로 3172
573,신례원점,충청남도,예산군,충청남도 예산군 예산읍 창말로 8
574,신림2점,서울특별시,관악구,서울특별시 관악구 대학길 70
575,신림점(원주),강원도,원주시,강원도 원주시 신림면 신림황둔로 4
576,신림현대점,서울특별시,관악구,"서울특별시 관악구 신림로 122, 1층 (신림동)"
577,신반점,경상남도,의령군,경상남도 의령군 부림면 신번로 164
578,신부점,충청남도,천안시동남구,충청남도 천안시동남구 터미널5길 14
579,신불당점,충청남도,천안시서북구,충청남도 천안시서북구 불당19로 95
580,신사동점,서울특별시,은평구,"서울특별시 은평구 갈현로3길 33-8, 1층 (신사동)"
581,신선점,부산광역시,영도구,부산광역시 영도구 하나길 614
582,신설동점,서울특별시,종로구,서울특별시 종로구 숭인동길 53-4
583,신성점,대전광역시,유성구,대전광역시 유성구 신선로72번길 30
584,신수동점,서울특별시,마포구,"서울특별시 마포구 토정로 240, 상가동 101호 (신수동, 신수현대아파트)"
585,신수리점,강원도,철원군,강원도 철원군  서면 자등로 595
586,신시가지점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 김정문화로 66(삼주연립주택)
587,신양점,충청남도,예산군,충청남도 예산군 신양면 청신로 364
588,신영통점,경기도,수원시영통구,경기도 수원시영통구 영통로90번길 4-9(망포동485-3)
589,신원당점,경기도,고양시덕양구,경기도 고양시덕양구 고양대로1384 7-24 동문상가 1층 
590,신월7점,서울특별시,양천구,서울특별시 양천구 지양로7길 9
591,신정1점,서울특별시,양천구,"서울특별시 양천구 중앙로32길 55, 1층 101호 (신정동)"
592,신정2점,서울특별시,양천구,"서울특별시 양천구 신목로2길 11, 1층 103호 (신정동,청구아파트상가)"
593,신제주점,제주특별자치도,제주시,제주특별자치도 제주시  신대로124(연동)
594,신창부영점,광주광역시,광산구,광주광역시 광산구 신창로71번길 33
595,신창점,충청남도,아산시,충청남도 아산시 신창면 서부남로 868
596,신천은행점,경기도,시흥시,경기도 시흥시 수인로3325번길 15-4
597,신천점,대구광역시,동구,대구광역시 동구 송라로12길 31
598,신탄3점,대전광역시,대덕구,대전광역시 대덕구 신탄진북로 32
599,신태인점,전라북도,정읍시,전라북도 정읍시 신태인읍 신태인중앙로 7-1
600,신풍시장점,서울특별시,영등포구,서울특별시 영등포구 가마산로61길 3-1
601,신항점,충청남도,태안군,충청남도 태안군 근흥면 신진부두길 82
602,신현리점,경기도,광주시,경기도 광주시 오포읍 새말길 94
603,신화명점,부산광역시,북구,부산광역시 북구 화명동 산성로12번길 69
604,신흥2점,경기도,성남시수정구,"경기도 성남시수정구 수정남로 101-1, 1층 (신흥동)"
605,심곡5점,경기도,부천시원미구,경기도 부천시원미구 부천로103번길 17
606,심곡본1점,경기도,부천시소사구,"경기도 부천시소사구 성주로 159(심곡본동,1층)"
607,심곡점,인천광역시,서구,인천광역시 서구 심곡로 170 상가동 1층 103호
608,십정점,인천광역시,부평구,인천광역시 부평구 배곶남로 18
609,쌍촌시영점,광주광역시,서구,광주광역시 서구 쌍촌로 37
610,아동점,경기도,파주시,"경기도 파주시 경의로 1821, 1층101호"
611,아라점,제주특별자치도,제주시,"제주특별자치도 제주시 인다12길 1 1층, 106호"
612,아산풍기점,충청남도,아산시,충청남도 아산시 어의정로 184
613,아중점,전라북도,전주시덕진구,전라북도 전주시덕진구 인후동1가 880-5
614,아진천곡달천점,울산광역시,북구,울산광역시 북구 달천로 103-19(달천아이파크 2차상가 100동 B109호)
615,안강점,경상북도,경주시,경상북도 경주시 안강읍 비화원로 117
616,안계점,경상북도,의성군,경상북도 의성군 안계면 서부로 1844
617,안녕송산점,경기도,화성시,경기도 화성시 용주로 25 1층 일부호(안녕동)
618,안산3점,경기도,안산시단원구,경기도 안산시단원구 예술대학로 107 상가104호
619,안산상록수점,경기도,안산시상록구,경기도 안산시상록구 본삼로 17 1층 103호
620,안산이동점,경기도,안산시상록구,"경기도 안산시상록구 도매시장로 34-1, 102호"
621,안산일동점,경기도,안산시상록구,경기도 안산시상록구 호동로 81(일동)
622,안산효자점,경기도,안산시단원구,경기도 안산시단원구 선부광장서로1길 15 효자상가103호
623,안서점,충청남도,천안시동남구,충청남도 천안시동남구 중암1길 17
624,안성2점,경기도,안성시,경기도 안성시 개내교1길 4
625,안양5동점,경기도,안양시만안구,경기도 안양시만안구 현충로28번길 45
626,안의점,경상남도,함양군,경상남도 함양군 안의면 강변로 321
627,안중점,경기도,평택시,경기도 평택시 안중읍 안현로서7길 16
628,안흥점,강원도,횡성군,강원도 횡성군 안흥면 안흥로 37
629,암사2점,서울특별시,강동구,"서울특별시 강동구 구천면로 337, 1층 (암사동)"
630,암사역점,서울특별시,강동구,서울특별시 강동구 상암로11길 5 (암사동)
631,앙성점,충청북도,충주시,충청북도 충주시 앙성면 가곡로 1033-1
632,애월점,제주특별자치도,제주시,제주특별자치도 제주시 애월로 117
633,야탑점,경기도,성남시분당구,"경기도 성남시분당구 야탑로139번길 18-3 (야탑동,1층)"
634,약대점,경기도,부천시오정구,경기도 부천시오정구 평천로 746
635,약목점,경상북도,칠곡군,경상북도 칠곡군 약목면 약목로 94-2(2층 건물내 1층)
636,약수역점,서울특별시,중구,서울특별시 중구 다산로28길 22 1층
637,양곡1점,경기도,김포시,경기도 김포시 양촌읍 양곡2로60번길 53 101호
638,양덕원점,강원도,홍천군,강원도 홍천군  남면 시동로 4
639,양덕합성점,경상남도,창원시마산회원구,경상남도 창원시마산회원구 합성옛길97 
640,양동점,경기도,양평군,경기도 양평군 양동면 양동시장길 6-5
641,양문점,경기도,포천시,경기도 포천시 영중면 양문로 98-1
642,양벌점,경기도,광주시,경기도 광주시 오포읍 양벌로 216-1
643,양성점,경기도,안성시,경기도 안성시 양성면 읍내길 26
644,양수리점,경기도,양평군,경기도 양평군 양서면 양수로150번길 9-2
645,양재점,서울특별시,서초구,서울특별시 서초구 남부순환로356길 33 광성빌딩 1층
646,양정염포점,울산광역시,북구,울산광역시 북구 염포로 591-1(양정동)
647,양주백석점,경기도,양주시,경기도 양주시 백석읍 양주산성로 564-1 1층
648,양평옥천점,경기도,양평군,"경기도 양평군 옥천면 북부길9번길, 5"
649,양평용문점,경기도,양평군,경기도 양평군 용문면 용문역길 7
650,양평점,경기도,양평군,경기도 양평군 양평읍 중앙로167번길 62
651,양학점,경상북도,포항시북구,경상북도 포항시북구 양학로32번길 9-1
652,어양점,전라북도,익산시,전라북도 익산시 고봉로18길 107(어양동)
653,언양점,울산광역시,울주군,울산광역시 울주군 언양읍 읍성로 40
654,엄사금암점,충청남도,계룡시,충청남도 계룡시 엄사면 번영2길 4-41 101호
655,엄정점,충청북도,충주시,충청북도 충주시 엄정면 내창로 205
656,에코점,인천광역시,남동구,인천광역시 남동구 앵고개로815번 19
657,여월점,경기도,부천시오정구,경기도 부천시오정구 삼작로302번길 21-3
658,여의도점,서울특별시,영등포구,"서울특별시 영등포구 여의나루로 117, 109(여의도동)"
659,여주점,경기도,여주시,경기도 여주시 여흥로 97
660,역곡1점,경기도,부천시원미구,경기도 부천시원미구 역곡로 61 (역곡동)
661,연남동점,서울특별시,마포구,서울특별시 마포구 연남로 41(연남동)
662,연동점,제주특별자치도,제주시,제주특별자치도 제주시 연동1길 10
663,연무대점,충청남도,논산시,충청남도 논산시 연무읍 안심로 127
664,연봉점,강원도,홍천군,강원도 홍천군  홍천읍 무궁화로 88
665,연성점,경기도,시흥시,"경기도 시흥시 인선길 100, 107호(장곡동, 연성프라자)"
666,연수3점,인천광역시,연수구,"인천광역시 연수구 함박뫼로 100, 107호"
667,연수5점,인천광역시,연수구,"인천광역시 연수구 먼우금로 126, 107호(동춘동, 대림현대)"
668,연수6점,인천광역시,연수구,"인천광역시 연수구 샘말로 106-7(연수동, 1층 일부)"
669,연수동점,충청북도,충주시,충청북도 충주시 연원로 28(연수동)
670,연수주공점,인천광역시,연수구,"인천광역시 연수구 원인재로 315, 103호"
671,연지점,경기도,안성시,경기도 안성시 혜산로 14-1
672,연천점,경기도,연천군,경기도 연천군 연천읍 연천로 262
673,연풍점,경기도,파주시,경기도 파주시 파주읍 술이홀로 449
674,연풍점(충북),충청북도,괴산군,충청북도 괴산군 연풍면 향교로 28
675,염창동점,서울특별시,강서구,"서울특별시 강서구 공항대로71길  54, 105호(염창동,태진한솔상가)"
676,영광점,전라남도,영광군,전라남도 영광군 영광읍 중앙로 115
677,영덕점,경상북도,영덕군,경상북도 영덕군 영덕읍 중앙길 120-3
678,영동아파트점,서울특별시,강남구,"서울특별시 강남구 역삼로64길 11, 1층(대치동)"
679,영등포점,서울특별시,영등포구,"서울특별시 영등포구 양산로 137, 1층(당산동3가)"
680,영산점,경상남도,창녕군,경상남도 창녕군 영산면 서리상촌길 321
681,영어마을점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 보성리 2476
682,영오점,경상남도,고성군,경상남도 고성군 영오면 영회로 514
683,영운동점,충청북도,청주시상당구,충청북도 청주시상당구 영운로 34-1(영운동)
684,영월삼호점,강원도,영월군,"강원도 영월군 영월읍 단종로 88, 102호 삼호상가"
685,영월점,강원도,영월군,강원도 영월군 영월읍 은행나무길 19
686,영주지사, ,,
687,영주풍기점,경상북도,영주시,경상북도 영주시 풍기읍 풍기로 49-1
688,영천시장점,서울특별시,서대문구,서울특별시 서대문구 통일로 175
689,영통2점,경기도,수원시영통구,경기도 수원시영통구 영통로 498 상가동 106호
690,예산1점,충청남도,예산군,충청남도 예산군 예산읍 천변로 179
691,예산2점,충청남도,예산군,충청남도 예산군 예산읍 역전로 70
692,예천점,경상북도,예천군,경상북도 예천군 예천읍 남본리 222-2
693,오류1점,서울특별시,구로구,"서울특별시 구로구 고척로1길 5, 1층 (오류동)"
694,오목천점,경기도,수원시권선구,경기도 수원시권선구 삼천병마로 1592번길 3(오목천동)
695,오산1점,경기도,오산시,경기도 오산시 오산로 190번 24
696,오산2점,경기도,오산시,경기도 오산시 오산로 226번 18(원동)
697,오성점,경기도,평택시,경기도 평택시 오성면 숙성시장길 36
698,오정점,경기도,부천시오정구,"경기도 부천시오정구 오정로 244번 45, (오정동,1층)"
699,오창점,충청북도,청주시청원구,충청북도 청주시청원구 주성2길 25-2
700,오천원동점,경상북도,포항시남구,경상북도 포항시남구 오천읍 냉천로302번길 51
701,오포점,경기도,광주시,경기도 광주시 오포읍 오포로 886-1
702,오학점,경기도,여주시,"경기도 여주시 현암2길  28-11, 1층8호(현암동, 삼진아파트)"
703,옥산점,경상북도,경산시,경상북도 경산시 성암로10길 2-12(옥산동)
704,옥수동점,서울특별시,성동구,"서울특별시 성동구 독서당로39길 48, 1층 (옥수동)"
705,옥정점,경기도,양주시,"경기도 양주시 옥정동로5다길 12, 1층(옥정동)"
706,옥천점(충북),충청북도,옥천군,충청북도 옥천군 옥천읍 금장로 53
707,옥포1점,경상남도,거제시,"경상남도 거제시 옥포로 282, 104동지하층101호"
708,온수리점,인천광역시,강화군,인천광역시 강화군 길상면 강화동로 8-1
709,온양1점,충청남도,아산시,충청남도 아산시 충무로94번길 9
710,와룡점,대구광역시,달서구,대구광역시 달서구 이곡동로 32
711,와수리점,강원도,철원군,강원도 철원군  서면 와수로 168-1
712,왕십리점,서울특별시,성동구,서울특별시 성동구 무학봉15길 23
713,왜관점,경상북도,칠곡군,경상북도 칠곡군 왜관읍 구상길 180-1 삼성A104
714,외도점,제주특별자치도,제주시,제주특별자치도 제주시 외도이동  234-2
715,외동모화점,경상북도,경주시,경상북도 경주시 외동읍 모화공단길14-2
716,용강점,경상북도,경주시,경상북도 경주시 승삼1길 6-10
717,용담점,제주특별자치도,제주시,"제주특별자치도 제주시 욤담로 94, 1층"
718,용산점,충청북도,충주시,"충청북도 충주시 금붕9길 3, 106호(용산동)"
719,용상점,경상북도,안동시,경상북도 안동시 용상동 1242
720,용연점,충청남도,아산시,충청남도 아산시 배방읍 용연로 36
721,용운점,대전광역시,동구,대전광역시 동구 용운로 144
722,용원점,경상남도,창원시진해구,경상남도 창원시진해구 용재로29번길 5-17
723,용이점,경기도,평택시,경기도 평택시 현신1길 33-5
724,용인구성점,경기도,용인시기흥구,경기도 용인시기흥구 구성로 176(언남동)
725,용인시청점,경기도,용인시처인구,경기도 용인시처인구 중부대로 1142-1
726,용전점,대전광역시,대덕구,대전광역시 대덕구 홍도로 114번길 1
727,용현1호점,인천광역시,미추홀구,인천광역시 미추홀구 인주대로174번 36
728,용현2호점,인천광역시,미추홀구,인천광역시 미추홀구 낙섬중로 11(용현동)
729,용현점,경기도,의정부시,"경기도 의정부시 충의로57번길 7-3(용현동, 1층)"
730,용호점,부산광역시,남구,"부산광역시 남구 용호로42번길 104(용호동,1층)"
731,용화점,충청남도,아산시,충청남도 아산시 시민로258번길 3-21
732,우만.지동점,경기도,수원시팔달구,경기도 수원시팔달구 창룡대로150번 55(우만동)
733,우산동보점,강원도,원주시,강원도 원주시 진광길 30(우산동)
734,우암점,충청북도,청주시청원구,충청북도 청주시청원구 향군로 20(우암동)
735,우창점,경상북도,포항시북구,경상북도 포항시북구 아치로 15
736,우천점,강원도,횡성군,강원도 횡성군 우천면 수남로 333
737,운남삼성점,광주광역시,광산구,광주광역시 광산구 임방울대로 142-12
738,운정1점,경기도,파주시,"경기도 파주시 미래로 603, 상가동 203호(목동동)"
739,운정2점,경기도,파주시,"경기도 파주시 동패로 115, 상가동 122호"
740,운천점,경기도,포천시,경기도 포천시 영북면 운천로 10
741,울산신정1점,울산광역시,남구,울산광역시 남구 봉월로164번길 4
742,원곡동점,경기도,안산시단원구,"경기도 안산시단원구 원선로 55, 104호(원곡동)"
743,원당지구점,인천광역시,서구,"인천광역시 서구 원당대로 866, 103호"
744,원동일산점,강원도,원주시,"강원도 원주시 무실로 96, 1층 (일산동)"
745,원북점,충청남도,태안군,충청남도 태안군 원북면 원이로 837
746,원앙마을점,충청남도,천안시동남구,충청남도 천안시동남구 목천읍 삼성5길 46
747,원종3점,경기도,부천시오정구,경기도 부천시오정구 원종로 7
748,원주지사,테스트,테스트구,테스트 테스트구 테스트점 23-123
749,원천점,경기도,수원시영통구,경기도 수원시영통구 동탄원천로110 42
750,원통점,강원도,인제군,강원도 인제군  북면 금강로 46
751,월계삼호점,서울특별시,노원구,서울특별시 노원구 마들로 127 삼호4차 상가
752,월곡2점,서울특별시,성북구,서울특별시 성북구 월곡로 112
753,월봉점,충청남도,천안시서북구,충청남도 천안시서북구 월봉로 79
754,월피주공점,경기도,안산시상록구,"경기도 안산시상록구 예술광장1로 7, 주공상가 107호"
755,위미점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 위미중앙로 204
756,유구점,충청남도,공주시,충청남도 공주시 유구읍 중앙1길 88
757,유림점,경상남도,함양군,경상남도 함양군 유림면 천왕봉로 2867
758,유성1점,대전광역시,유성구,대전광역시 유성구 계룡로60번길 60-2
759,유성2점,대전광역시,유성구,대전광역시 유성구 유성대로 745
760,유천2점,대전광역시,중구,대전광역시 중구 계백로 1626-1
761,유천점,대전광역시,중구,대전광역시 중구 문화로 71-1
762,율도점,인천광역시,서구,인천광역시 서구 새오개로 75
763,율량점,충청북도,청주시청원구,충청북도 청주시청원구 공항로 114
764,율암온천점,경기도,화성시,경기도 화성시 팔탄면 온천로 454
765,율하점,대구광역시,동구,대구광역시 동구 율하동로12길 12(율하동)
766,으뜸점,광주광역시,서구,광주광역시 서구 상무공원로 112 해광한신아파트상가 113호
767,은빛점,경기도,고양시덕양구,경기도 고양시덕양구 화중로130번길 5-19
768,은행나무점,서울특별시,금천구,서울특별시 금천구 탑골로 17
769,은행점,경기도,성남시중원구,경기도 성남시중원구 산성대로582번 14. 1층(은행동)
770,은행택지점,경기도,시흥시,"경기도 시흥시 은행로 107, 상가1동 1202호"
771,음봉점,충청남도,아산시,충청남도 아산시 음봉면 산동안길 10
772,음성점,충청북도,음성군,충청북도 음성군 음성읍 시장로 95
773,응암1점,서울특별시,은평구,서울특별시 은평구 응암로 247(응암동)
774,의당신한점,충청남도,공주시,충청남도 공주시 의당면 연수원길 115-2 102호
775,의정부지사, ,,
776,이대점,서울특별시,마포구,"서울특별시 마포구 숭문16길 6, 1층(염리동)"
777,이도점,제주특별자치도,제주시,제주특별자치도 제주시 서광로20길 3
778,이동점,경기도,포천시,경기도 포천시 이동면 화동로 2105
779,이매점,경기도,성남시분당구,경기도 성남시분당구 이매로 54 이매촌분산상가 101호
780,이수점,충청남도,천안시서북구,충청남도 천안시서북구 한들1로 58
781,이원점,충청북도,옥천군,충청북도 옥천군 이원면 신흥1길 5
782,이월점,충청북도,진천군,충청북도 진천군 이월면 진광로 789-1
783,이주단지점,충청남도,당진시,충청남도 당진시 송악읍 신복운로6길 7(1층)
784,이천중앙점,경기도,이천시,경기도 이천시 서희로 37(중리동)
785,이천현대점,경기도,이천시,경기도 이천시 부발읍 경충대로2110번길 14
786,이포점,경기도,여주시,경기도 여주시 금사면 이포로 60
787,이화동점,서울특별시,종로구,서울특별시 종로구 대학로 52(연건동)
